,Row ID+O6G3A1:R6,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Region,Product ID,Product Name,Sales,Quantity,Profit,Returns,Payment Mode,Category_Furniture,Category_Office Supplies,Category_Technology,Sub-Category_Accessories,Sub-Category_Appliances,Sub-Category_Art,Sub-Category_Binders,Sub-Category_Bookcases,Sub-Category_Chairs,Sub-Category_Copiers,Sub-Category_Envelopes,Sub-Category_Fasteners,Sub-Category_Furnishings,Sub-Category_Labels,Sub-Category_Machines,Sub-Category_Paper,Sub-Category_Phones,Sub-Category_Storage,Sub-Category_Supplies,Sub-Category_Tables
12,2876,US-2019-167339,21-01-2019,23-01-2019,Second Class,TD-20995,Tamara Dahlen,Consumer,United States,San Diego,California,West,FUR-CH-10004289,Global Super Steno Chair,153.568,2,-5.7588,,COD,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
13,2877,US-2019-167339,21-01-2019,23-01-2019,Second Class,TD-20995,Tamara Dahlen,Consumer,United States,San Diego,California,West,FUR-CH-10000785,Global Ergonomic Managers Chair,1013.488,7,76.0116,,COD,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
14,2471,US-2019-135923,22-01-2019,28-01-2019,Standard Class,CM-11935,Carlos Meador,Consumer,United States,Fayetteville,North Carolina,South,FUR-FU-10002107,Eldon Pizzaz Desk Accessories,14.272,8,4.2816,,COD,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
15,2472,US-2019-135923,22-01-2019,28-01-2019,Standard Class,CM-11935,Carlos Meador,Consumer,United States,Fayetteville,North Carolina,South,FUR-BO-10002213,"Sauder Forest Hills Library, Woodland Oak Finish",451.136,4,-67.6704,,COD,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
16,2694,CA-2019-138079,22-01-2019,28-01-2019,Standard Class,AJ-10795,Anthony Johnson,Corporate,United States,Seattle,Washington,West,FUR-FU-10001475,"Contract Clock, 14"", Brown",109.9,5,37.366,,Online,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
17,7294,CA-2019-113656,23-01-2019,29-01-2019,Standard Class,CB-12415,Christy Brittain,Consumer,United States,Los Angeles,California,West,FUR-FU-10000719,"DAX Cubicle Frames, 8-1/2 x 11",59.99,7,21.5964,,Online,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
18,9359,CA-2019-168046,25-01-2019,28-01-2019,Second Class,JD-15895,Jonathan Doherty,Corporate,United States,New York City,New York,East,FUR-TA-10001095,Chromcraft Round Conference Tables,313.722,3,-99.3453,,COD,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
19,9360,CA-2019-168046,25-01-2019,28-01-2019,Second Class,JD-15895,Jonathan Doherty,Corporate,United States,New York City,New York,East,FUR-FU-10000747,Tenex B1-RE Series Chair Mats for Low Pile Carpets,45.98,1,7.8166,,Online,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
20,7565,US-2019-166660,30-01-2019,01-02-2019,Second Class,TB-21250,Tim Brockman,Consumer,United States,Seattle,Washington,West,FUR-CH-10001190,Global Deluxe High-Back Office Chair in Storm,435.168,4,-59.8356,,COD,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
21,7566,US-2019-166660,30-01-2019,01-02-2019,Second Class,TB-21250,Tim Brockman,Consumer,United States,Seattle,Washington,West,FUR-BO-10000468,O'Sullivan 2-Shelf Heavy-Duty Bookcases,48.58,1,7.7728,,Online,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
22,8927,CA-2019-168032,30-01-2019,03-02-2019,Standard Class,DF-13135,David Flashing,Consumer,United States,Rockford,Illinois,Central,FUR-TA-10004256,Bretford “Just In Time” Height-Adjustable Multi-Task Work Tables,626.1,3,-538.446,,Online,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
23,8491,CA-2019-158841,02-02-2019,04-02-2019,Second Class,SE-20110,Sanjit Engle,Consumer,United States,Arlington,Virginia,South,FUR-FU-10001731,Acrylic Self-Standing Desk Frames,18.69,7,7.1022,,Online,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
24,8513,CA-2019-144645,02-02-2019,08-02-2019,Standard Class,NS-18640,Noel Staavos,Corporate,United States,Houston,Texas,Central,FUR-FU-10003601,"Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting",73.784,2,-77.4732,,COD,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
25,5754,CA-2019-118514,03-02-2019,10-02-2019,Standard Class,LC-17050,Liz Carlisle,Consumer,United States,Richmond,Kentucky,South,FUR-CH-10000015,Hon Multipurpose Stacking Arm Chairs,866.4,4,225.264,,COD,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
26,6043,CA-2019-117912,04-02-2019,08-02-2019,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Sierra Vista,Arizona,West,FUR-FU-10002088,Nu-Dell Float Frame 11 x 14 1/2,14.368,2,3.9512,,COD,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
27,1386,US-2019-108504,05-02-2019,05-02-2019,Same Day,PP-18955,Paul Prost,Home Office,United States,Smyrna,Georgia,South,FUR-FU-10004091,"Eldon 200 Class Desk Accessories, Black",18.84,3,7.1592,,Online,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
28,1387,US-2019-108504,05-02-2019,05-02-2019,Same Day,PP-18955,Paul Prost,Home Office,United States,Smyrna,Georgia,South,FUR-BO-10004015,"Bush Andora Bookcase, Maple/Graphite Gray Finish",239.98,2,52.7956,,COD,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
29,8144,CA-2019-100993,05-02-2019,10-02-2019,Standard Class,AZ-10750,Annie Zypern,Consumer,United States,San Diego,California,West,FUR-TA-10001095,Chromcraft Round Conference Tables,557.728,4,6.9716,,COD,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
30,5810,CA-2019-125017,06-02-2019,11-02-2019,Standard Class,KB-16240,Karen Bern,Corporate,United States,Chattanooga,Tennessee,South,FUR-FU-10000723,"Deflect-o EconoMat Studded, No Bevel Mat for Low Pile Carpeting",132.224,4,-18.1808,,COD,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
31,8383,CA-2019-163048,08-02-2019,15-02-2019,Standard Class,MH-17440,Mark Haberlin,Corporate,United States,Houston,Texas,Central,FUR-CH-10001270,Harbour Creations Steel Folding Chair,241.5,4,0.0,,COD,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
32,7813,CA-2019-134334,14-02-2019,15-02-2019,First Class,DK-13090,Dave Kipp,Consumer,United States,Clinton,Maryland,East,FUR-TA-10002356,Bevis Boat-Shaped Conference Table,550.431,3,-47.1798,,Online,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
33,7814,CA-2019-134334,14-02-2019,15-02-2019,First Class,DK-13090,Dave Kipp,Consumer,United States,Clinton,Maryland,East,FUR-FU-10003274,Regeneration Desk Collection,10.56,6,4.6464,,Online,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
34,1823,CA-2019-168956,16-02-2019,20-02-2019,Standard Class,EA-14035,Erin Ashbrook,Corporate,United States,Chicago,Illinois,Central,FUR-CH-10004754,"Global Stack Chair with Arms, Black",62.958,3,-2.6982,,Online,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
35,8161,CA-2019-134138,16-02-2019,20-02-2019,Standard Class,JD-15790,John Dryer,Consumer,United States,Belleville,New Jersey,East,FUR-CH-10001545,Hon Comfortask Task/Swivel Chairs,227.96,2,36.4736,,Online,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
36,9079,CA-2019-108105,16-02-2019,23-02-2019,Standard Class,GW-14605,Giulietta Weimer,Consumer,United States,Henderson,Kentucky,South,FUR-FU-10003773,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,318.08,4,34.9888,,COD,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
37,9722,CA-2019-105781,16-02-2019,20-02-2019,Standard Class,JF-15565,Jill Fjeld,Consumer,United States,New York City,New York,East,FUR-CH-10001802,Hon Every-Day Chair Series Swivel Task Chairs,326.646,3,39.9234,,Online,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
38,854,CA-2019-123274,19-02-2019,24-02-2019,Standard Class,GT-14710,Greg Tran,Consumer,United States,New York City,New York,East,FUR-FU-10004090,"Executive Impressions 14"" Contract Wall Clock",44.46,2,14.6718,,COD,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
39,5306,US-2019-168410,21-02-2019,26-02-2019,Standard Class,BV-11245,Benjamin Venier,Corporate,United States,Oceanside,New York,East,FUR-FU-10000629,9-3/4 Diameter Round Wall Clock,68.95,5,28.959,,COD,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
40,9013,CA-2019-121447,21-02-2019,22-02-2019,First Class,EA-14035,Erin Ashbrook,Corporate,United States,New York City,New York,East,FUR-FU-10001861,"Floodlight Indoor Halogen Bulbs, 1 Bulb per Pack, 60 Watts",135.8,7,66.542,,COD,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
41,7848,CA-2019-128706,27-02-2019,02-03-2019,Standard Class,DW-13540,Don Weiss,Consumer,United States,Houston,Texas,Central,FUR-FU-10004053,DAX Two-Tone Silver Metal Document Frame,16.192,2,-6.8816,,Online,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
42,1083,US-2019-143819,01-03-2019,05-03-2019,Standard Class,KD-16270,Karen Daniels,Consumer,United States,Yonkers,New York,East,FUR-TA-10001095,Chromcraft Round Conference Tables,836.592,8,-264.9208,,COD,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
43,3757,CA-2019-116799,03-03-2019,06-03-2019,First Class,JG-15310,Jason Gross,Corporate,United States,Odessa,Texas,Central,FUR-CH-10004983,Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,563.43,5,-56.343,,COD,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
44,4003,CA-2019-145730,03-03-2019,08-03-2019,Standard Class,CC-12220,Chris Cortes,Consumer,United States,San Antonio,Texas,Central,FUR-TA-10004915,"Office Impressions End Table, 20-1/2""H x 24""W x 20""D",637.896,3,-127.5792,,Online,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
45,4749,CA-2019-120005,03-03-2019,03-03-2019,Same Day,TS-21160,Theresa Swint,Corporate,United States,San Francisco,California,West,FUR-FU-10000672,"Executive Impressions 10"" Spectator Wall Clock",35.28,3,11.9952,,Online,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
46,8984,CA-2019-110898,06-03-2019,12-03-2019,Standard Class,LC-16870,Lena Cacioppo,Consumer,United States,Chicago,Illinois,Central,FUR-FU-10003773,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,159.04,5,-194.824,,Online,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
47,8985,CA-2019-110898,06-03-2019,12-03-2019,Standard Class,LC-16870,Lena Cacioppo,Consumer,United States,Chicago,Illinois,Central,FUR-TA-10000849,Bevis Rectangular Conference Tables,145.98,2,-99.2664,,COD,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
48,1048,CA-2019-169103,08-03-2019,13-03-2019,Standard Class,ZC-21910,Zuschuss Carroll,Consumer,United States,Miami,Florida,South,FUR-FU-10004006,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",102.36,3,-3.8385,,Cards,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
49,7234,CA-2019-137337,08-03-2019,12-03-2019,Standard Class,GB-14575,Giulietta Baptist,Consumer,United States,New York City,New York,East,FUR-FU-10003347,Coloredge Poster Frame,113.6,8,44.304,,Cards,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
50,8333,CA-2019-153269,09-03-2019,12-03-2019,First Class,PS-18760,Pamela Stobb,Consumer,United States,Andover,Massachusetts,East,FUR-CH-10002647,"Situations Contoured Folding Chairs, 4/Set",354.9,5,88.725,,Online,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
51,1876,US-2019-112977,10-03-2019,16-03-2019,Standard Class,CJ-12010,Caroline Jumper,Consumer,United States,Long Beach,New York,East,FUR-BO-10003272,O'Sullivan Living Dimensions 5-Shelf Bookcases,176.784,1,-22.098,,Cards,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
52,1462,US-2019-128902,11-03-2019,15-03-2019,Standard Class,MB-18085,Mick Brown,Consumer,United States,Vineland,New Jersey,East,FUR-TA-10001095,Chromcraft Round Conference Tables,244.006,2,-31.3722,,Cards,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
53,2759,CA-2019-146171,11-03-2019,15-03-2019,Standard Class,JP-16135,Julie Prescott,Home Office,United States,Columbus,Georgia,South,FUR-FU-10004270,"Executive Impressions 13"" Clairmont Wall Clock",76.92,4,31.5372,,Online,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
54,9698,CA-2019-122511,11-03-2019,11-03-2019,Same Day,BT-11485,Brad Thomas,Home Office,United States,Philadelphia,Pennsylvania,East,FUR-FU-10001037,"DAX Charcoal/Nickel-Tone Document Frame, 5 x 7",30.336,4,9.48,,Cards,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
55,5960,CA-2019-127138,12-03-2019,15-03-2019,Second Class,DK-13225,Dean Katz,Corporate,United States,San Francisco,California,West,FUR-CH-10003746,Hon 4070 Series Pagoda Round Back Stacking Chairs,770.352,3,77.0352,,Online,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
56,2348,CA-2019-159373,13-03-2019,18-03-2019,Standard Class,LT-17110,Liz Thompson,Consumer,United States,San Antonio,Texas,Central,FUR-TA-10004619,Hon Non-Folding Utility Tables,557.585,5,0.0,,Online,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
57,2364,US-2019-108637,13-03-2019,18-03-2019,Standard Class,AB-10060,Adam Bellavance,Home Office,United States,Waynesboro,Virginia,South,FUR-FU-10004864,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",127.88,2,40.9216,,Cards,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
58,5884,CA-2019-136301,13-03-2019,15-03-2019,Second Class,EH-13765,Edward Hooks,Corporate,United States,San Francisco,California,West,FUR-FU-10004712,"Westinghouse Mesh Shade Clip-On Gooseneck Lamp, Black",28.28,2,7.3528,,COD,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
59,7415,US-2019-114013,13-03-2019,15-03-2019,Second Class,SC-20770,Stewart Carmichael,Corporate,United States,Philadelphia,Pennsylvania,East,FUR-CH-10004287,SAFCO Arco Folding Chair,386.68,2,-5.524,,COD,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
60,1693,US-2019-154361,14-03-2019,19-03-2019,Standard Class,HZ-14950,Henia Zydlo,Consumer,United States,Columbus,Ohio,East,FUR-FU-10004020,Advantus Panel Wall Acrylic Frame,21.88,5,6.2905,,Cards,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
61,3929,CA-2019-162082,14-03-2019,17-03-2019,First Class,JS-15880,John Stevenson,Consumer,United States,Harlingen,Texas,Central,FUR-BO-10004409,"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",241.332,5,-14.196,,COD,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
62,4259,CA-2019-124793,14-03-2019,16-03-2019,First Class,MM-18280,Muhammed MacIntyre,Corporate,United States,Seattle,Washington,West,FUR-CH-10002880,"Global High-Back Leather Tilter, Burgundy",196.784,2,-22.1382,,COD,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
63,8934,CA-2019-102134,14-03-2019,19-03-2019,Standard Class,SP-20545,Sibella Parks,Corporate,United States,Green Bay,Wisconsin,Central,FUR-FU-10003724,Westinghouse Clip-On Gooseneck Lamps,16.74,2,4.3524,,COD,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
64,7649,CA-2019-138968,15-03-2019,16-03-2019,First Class,FC-14335,Fred Chung,Corporate,United States,San Francisco,California,West,FUR-CH-10000309,Global Comet Stacking Arm Chair,1352.032,4,84.502,,Online,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
65,9920,CA-2019-149272,15-03-2019,19-03-2019,Standard Class,MY-18295,Muhammed Yedwab,Corporate,United States,Bryan,Texas,Central,FUR-CH-10000863,Novimex Swivel Fabric Task Chair,528.43,5,-143.431,,Cards,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
66,4402,CA-2019-131737,17-03-2019,17-03-2019,Same Day,GZ-14470,Gary Zandusky,Consumer,United States,Columbia,Maryland,East,FUR-FU-10004306,Electrix Halogen Magnifier Lamp,971.5,5,252.59,,COD,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
67,495,US-2019-120929,18-03-2019,21-03-2019,Second Class,RO-19780,Rose O'Brian,Consumer,United States,Memphis,Tennessee,South,FUR-TA-10001857,Balt Solid Wood Rectangular Table,189.882,3,-94.941,,COD,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
68,2226,CA-2019-106383,19-03-2019,21-03-2019,Second Class,BT-11440,Bobby Trafton,Consumer,United States,Littleton,Colorado,West,FUR-BO-10002202,"Atlantic Metals Mobile 2-Shelf Bookcases, Custom Colors",72.294,1,-98.8018,,Cards,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
69,2853,CA-2019-136371,19-03-2019,21-03-2019,Second Class,SV-20935,Susan Vittorini,Consumer,United States,Oceanside,New York,East,FUR-FU-10000409,"GE 4 Foot Flourescent Tube, 40 Watt",14.98,1,6.8908,,Online,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
70,2854,CA-2019-136371,19-03-2019,21-03-2019,Second Class,SV-20935,Susan Vittorini,Consumer,United States,Oceanside,New York,East,FUR-FU-10000221,"Master Caster Door Stop, Brown",20.32,4,6.9088,,Online,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
71,1041,CA-2019-127670,20-03-2019,24-03-2019,Standard Class,RD-19660,Robert Dilbeck,Home Office,United States,Saint Peters,Missouri,Central,FUR-TA-10001095,Chromcraft Round Conference Tables,697.16,4,146.4036,,Online,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
72,3312,CA-2019-162747,20-03-2019,25-03-2019,Second Class,AH-10030,Aaron Hawkins,Corporate,United States,Gulfport,Mississippi,South,FUR-FU-10003691,"Eldon Image Series Desk Accessories, Ebony",86.45,7,38.038,,COD,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
73,3173,US-2019-133879,21-03-2019,28-03-2019,Standard Class,KT-16465,Kean Takahito,Consumer,United States,Chicago,Illinois,Central,FUR-CH-10000665,"Global Airflow Leather Mesh Back Chair, Black",528.43,5,0.0,,Cards,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
74,3766,CA-2019-163153,21-03-2019,25-03-2019,Standard Class,DM-12955,Dario Medina,Corporate,United States,Houston,Texas,Central,FUR-TA-10004767,Safco Drafting Table,99.372,2,-1.4196,,COD,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
75,7695,CA-2019-118899,22-03-2019,22-03-2019,Same Day,MC-17275,Marc Crier,Consumer,United States,Seattle,Washington,West,FUR-CH-10004754,"Global Stack Chair with Arms, Black",167.888,7,14.6902,,Online,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
76,9130,CA-2019-130911,24-03-2019,26-03-2019,Second Class,DC-12850,Dan Campbell,Consumer,United States,Cleveland,Ohio,East,FUR-BO-10004357,O'Sullivan Living Dimensions 3-Shelf Bookcases,301.47,3,-241.176,,COD,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
77,8545,CA-2019-119074,27-03-2019,31-03-2019,Standard Class,DS-13180,David Smith,Corporate,United States,Columbus,Georgia,South,FUR-FU-10004053,DAX Two-Tone Silver Metal Document Frame,20.24,1,8.7032,,Online,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
78,8546,CA-2019-119074,27-03-2019,31-03-2019,Standard Class,DS-13180,David Smith,Corporate,United States,Columbus,Georgia,South,FUR-FU-10003731,"Eldon Expressions Wood and Plastic Desk Accessories, Oak",39.92,4,11.1776,,COD,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
79,3552,CA-2019-152555,29-03-2019,02-04-2019,Second Class,ME-17320,Maria Etezadi,Home Office,United States,Chicago,Illinois,Central,FUR-CH-10002965,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",844.116,6,-36.1764,,Online,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
80,3975,CA-2019-167556,29-03-2019,02-04-2019,Standard Class,JM-15250,Janet Martin,Consumer,United States,New York City,New York,East,FUR-FU-10004848,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",414.0,8,124.2,,COD,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
81,6382,CA-2019-127236,29-03-2019,02-04-2019,Standard Class,TB-21595,Troy Blackwell,Consumer,United States,Springfield,Ohio,East,FUR-BO-10004015,"Bush Andora Bookcase, Maple/Graphite Gray Finish",299.975,5,-167.986,,Online,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
82,6128,CA-2019-124100,31-03-2019,06-04-2019,Standard Class,EH-13990,Erica Hackney,Consumer,United States,New York City,New York,East,FUR-CH-10003817,"Global Value Steno Chair, Gray",327.996,6,54.666,,COD,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
83,5142,CA-2019-111213,01-04-2019,05-04-2019,Standard Class,FP-14320,Frank Preis,Consumer,United States,New York City,New York,East,FUR-CH-10000454,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",1317.492,6,292.776,,COD,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
